id,titulo,mpa,genero,duracion,fecha_estreno,productora,ingresos,presupuesto,voto_promedio,cantidad_votos,popularidad,director,genero_director
tt0210945,Remember the Titans,PG,Drama,113,2000-09-29,Jerry Bruckheimer Films,136700000,30000000,7.624,2506,43.975,Boaz Yakin,Masculino
tt0186566,Space Cowboys,NA,Action,130,2000-08-04,Village Roadshow Pictures,128900000,65000000,6.384,1277,17.332,Clint Eastwood,Masculino
tt0141926,U-571,PG-13,War,116,2000-04-20,Universal Pictures,127700000,62000000,6.46,1134,41.793,Jonathan Mostow,Masculino
tt0218967,The Family Man,PG-13,Comedy,125,2000-12-12,Beacon Pictures,124700000,60000000,6.8,1824,27.309,Brett Ratner,Masculino
tt0215129,Road Trip,R,Comedy,93,2000-05-19,DreamWorks Pictures,119800000,16000000,6.2,1817,23.356,Todd Phillips,Masculino
tt0200550,Coyote Ugly,PG-13,Comedy,100,2000-07-30,Touchstone Pictures,113900000,45000000,6.255,1961,24.654,David McNally,Masculino
tt0195714,Final Destination,R,Horror,98,2000-03-17,Hard Eight Pictures,112900000,23000000,6.6,5267,42.066,James Wong,Masculino
tt0070047,The Exorcist,R,Horror,122,1973-12-26,Hoya Productions,441400000,12000000,7.721,7560,62.901,William Friedkin,Masculino
tt0183523,Mission to Mars,PG,Science Fiction,114,2000-03-10,Red Horizon Productions,60900000,90000000,5.979,1336,14.926,Brian De Palma,Masculino
tt0219854,The Kid,PG,Fantasy,104,2000-07-07,Walt Disney Pictures,110317580,65000000,6.616,911,41.926,Jon Turteltaub,Masculino
tt0249462,Billy Elliot,R,Drama,110,2000-09-28,StudioCanal,109280263,5000000,7.593,3642,23.24,Stephen Daldry,Masculino
tt0162650,Shaft,R,Action,99,2000-06-15,Paramount,107626125,46000000,5.998,1198,28.708,John Singleton,Masculino
